name,neighborhood,rating,n_reviews,cuisine_type,price_range
Boucherie West Village,Downtown,4.8,2331,"French, American",$$ - $$$
Piccola Cucina Osteria,Downtown,4.7,3498,"Steakhouse, Seafood",$$ - $$$
Piccola Cucina Estiatorio,Downtown,4.8,1158,,$$ - $$$
Olio E Più,Downtown,4.7,3855,"Italian, Sicilian",$$ - $$$
Numero 28 Pizzeria,Downtown,4.7,1920,"Italian, Sicilian",$$ - $$$
Petite Boucherie,Downtown,4.8,953,"Italian, Pizza",$$ - $$$
Bill's Bar & Burger,Downtown,4.3,1754,"Italian, Pizza",$$ - $$$
Dos Caminos,Downtown,4.2,1031,"Seafood, Mediterranean",$$ - $$$
Bleecker Street Pizza,Downtown,4.6,1979,,$
The Standard Grill,Downtown,4.2,2073,"American, Bar",$$ - $$$
San Carlo Osteria Piemonte,Downtown,4.7,802,"Mexican, Latin",$$ - $$$
Kuu Ramen,Downtown,4.6,295,"Italian, Pizza",$
Da Andrea Greenwich Village,Downtown,4.5,475,"American, Bar",$$ - $$$
Scalini Fedeli,Downtown,4.6,463,"Italian, Pizza",$$$$
Buenos Aires,Downtown,4.5,510,"Japanese, Asian",$$ - $$$
Song E Napule Pizzeria & Trattoria,Downtown,4.6,472,,$$ - $$$
Blue Ribbon Sushi,Downtown,4.5,1077,,$$ - $$$
Little Owl,Downtown,4.5,1280,"Steakhouse, Argentinean",$$ - $$$
Russ & Daughters Cafe,Downtown,4.5,718,"Japanese, Sushi",$$ - $$$
Manhatta,Downtown,4.5,455,"Italian, Pizza",$$$$
Via Della Pace,Downtown,4.5,1018,,$$ - $$$
Rafele,Downtown,4.6,1267,"Italian, American",$$ - $$$
City Vineyard at Pier 26,Downtown,4.5,437,"American, Cafe",$$ - $$$
Amelie,Downtown,4.5,467,,$$ - $$$
O'Hara's Restaurant & Pub,Downtown,4.4,1570,,$$ - $$$
L'Artusi,Downtown,4.5,558,"Italian, Pizza",$$$$
Tomino - Taberna Gallega,Downtown,4.6,270,"American, Bar",$$ - $$$
